公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
深圳锚链科技有限公司,锚链科技,50-150人,不需要融资,南山区,Python开发工程师,3-5年,本科,10k-15k,"福利待遇好,项目好,大牛带队,周末双休","['3', '5']",4.0,"['10', '15']",11.25
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,福田区,python工程师,1-3年,本科,8k-14k,周末双休 免费体检 员工旅游 五险一金,"['1', '3']",2.0,"['8', '14']",9.5
深圳市华宇讯科技有限公司,卖座网,500-2000人,B轮,南山区,Python工程师,3-5年,本科,10k-20k,大数据、人工智能,"['3', '5']",4.0,"['10', '20']",12.5
深圳市南方网通网络技术开发有限公司,南方网通,150-500人,天使轮,南山区,Python工程师,3-5年,大专,10k-20k,"五险一金,提供住宿,员工旅游","['3', '5']",4.0,"['10', '20']",12.5
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,python开发工程师,3-5年,大专,10k-20k,"双休,过节费,年度体检,旅游","['3', '5']",4.0,"['10', '20']",12.5
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,Python开发工程师,不限,本科,15k-30k,五险一金、14薪/年、下午茶、工作餐等等,[],0.0,"['15', '30']",18.75
深圳市有鱼智能科技有限公司,有鱼智能科技,150-500人,上市公司,福田区,Python开发工程师,1-3年,本科,10k-20k,"上市公司,弹性工作制,大牛多,发展空间大","['1', '3']",2.0,"['10', '20']",12.5
深圳佑驾创新科技有限公司,Minieye,50-150人,A轮,南山区,python工程师,1-3年,本科,15k-30k,"无人驾驶,车厂合作,扁平化管理,股票期权","['1', '3']",2.0,"['15', '30']",18.75
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,python开发,3-5年,大专,12k-16k,"六险一金,年终奖,双休,法定年假","['3', '5']",4.0,"['12', '16']",13.0
上海新炬网络技术有限公司,新炬网络,500-2000人,未融资,福田区,Python开发工程师,1-3年,大专,10k-15k,"平台大,发展前景好,五险一金,资深团队","['1', '3']",2.0,"['10', '15']",11.25
深圳布谷鸟信息科技有限公司,布谷鸟科技,500-2000人,不需要融资,南山区,Python开发工程师,3-5年,本科,10k-20k,"五险一金,绩效奖金,技术大牛多,团队年轻化","['3', '5']",4.0,"['10', '20']",12.5
深圳睿云智合科技有限公司,Wise2c,15-50人,天使轮,南山区,Python开发工程师,3-5年,本科,15k-30k,"13薪,年终奖,公司福利好,公司氛围好","['3', '5']",4.0,"['15', '30']",18.75
上海奥飞游戏有限公司,奥飞游戏深圳分公司,150-500人,A轮,南山区,Python开发工程师,1-3年,大专,8k-12k,"靠谱团队,项目给力,福利多多","['1', '3']",2.0,"['8', '12']",9.0
深圳萨摩耶互联网金融服务有限公司,萨摩耶金服,150-500人,B轮,南山区,python工程师,3-5年,本科,15k-30k,"五险一金,待遇丰厚","['3', '5']",4.0,"['15', '30']",18.75
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,南山区,python开发工程师,3-5年,大专,10k-17k,"仿真模型,六险一金,节日福利,法定假期","['3', '5']",4.0,"['10', '17']",11.75
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,龙华新区,python开发,3-5年,大专,10k-20k,"福利齐全,薪资丰厚,团建旅游","['3', '5']",4.0,"['10', '20']",12.5
深圳市南方网通网络技术开发有限公司,南方网通,150-500人,天使轮,南山区,Python AI工程师,3-5年,本科,20k-25k,"五险一金,提供住宿,员工旅游","['3', '5']",4.0,"['20', '25']",21.25
深圳市华云中盛科技有限公司,华云中盛,150-500人,不需要融资,南山区,python开发工程师,3-5年,大专,12k-20k,"五险一金,年度体检,年度旅游,年终福利","['3', '5']",4.0,"['12', '20']",14.0
试金石信用服务有限公司,试金石信用,50-150人,不需要融资,南山区,Python开发岗,1-3年,本科,10k-20k,"福利好,大牛多","['1', '3']",2.0,"['10', '20']",12.5
深圳市杉岩数据技术有限公司,杉岩数据,15-50人,A轮,南山区,Python开发工程师,1-3年,本科,10k-16k,"扁平化管理,发展空间大,产品有竞争,氛围融洽","['1', '3']",2.0,"['10', '16']",11.5
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,python开发工程师,3-5年,本科,8k-11k,"IT互联网,平台大,发展好","['3', '5']",4.0,"['8', '11']",8.75
